season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2025,1,mclaren,27,1,1
2025,1,mercedes,27,0,2
2025,1,red_bull,18,0,3
2025,1,williams,10,0,4
2025,1,aston_martin,8,0,5
2025,1,sauber,6,0,6
2025,1,ferrari,5,0,7
2025,1,alpine,0,0,8
2025,1,rb,0,0,9
2025,1,haas,0,0,10
2025,2,mclaren,78,2,1
2025,2,mercedes,57,0,2
2025,2,red_bull,36,0,3
2025,2,williams,17,0,4
2025,2,ferrari,17,0,5
2025,2,haas,14,0,6
2025,2,aston_martin,10,0,7
2025,2,sauber,6,0,8
2025,2,rb,3,0,9
2025,2,alpine,0,0,10
2025,3,mclaren,111,2,1
2025,3,mercedes,75,0,2
2025,3,red_bull,61,1,3
2025,3,ferrari,35,0,4
2025,3,williams,19,0,5
2025,3,haas,15,0,6
2025,3,aston_martin,10,0,7
2025,3,rb,7,0,8
2025,3,sauber,6,0,9
2025,3,alpine,0,0,10
2025,4,mclaren,151,3,1
2025,4,mercedes,93,0,2
2025,4,red_bull,71,1,3
2025,4,ferrari,57,0,4
2025,4,haas,20,0,5
2025,4,williams,19,0,6
2025,4,aston_martin,10,0,7
2025,4,rb,7,0,8
2025,4,alpine,6,0,9
2025,4,sauber,6,0,10
2025,5,mclaren,188,4,1
2025,5,mercedes,111,0,2
2025,5,red_bull,89,1,3
2025,5,ferrari,78,0,4
2025,5,williams,25,0,5
2025,5,haas,20,0,6
2025,5,aston_martin,10,0,7
2025,5,rb,8,0,8
2025,5,alpine,6,0,9
2025,5,sauber,6,0,10
2025,6,mclaren,246,5,1
2025,6,mercedes,141,0,2
2025,6,red_bull,105,1,3
2025,6,ferrari,94,0,4
2025,6,williams,37,0,5
2025,6,haas,20,0,6
2025,6,aston_martin,14,0,7
2025,6,rb,8,0,8
2025,6,alpine,7,0,9
2025,6,sauber,6,0,10
2025,7,mclaren,279,5,1
2025,7,mercedes,147,0,2
2025,7,red_bull,131,2,3
2025,7,ferrari,114,0,4
2025,7,williams,51,0,5
2025,7,haas,20,0,6
2025,7,aston_martin,14,0,7
2025,7,rb,10,0,8
2025,7,alpine,7,0,9
2025,7,sauber,6,0,10
2025,8,mclaren,319,6,1
2025,8,mercedes,147,0,2
2025,8,red_bull,143,2,3
2025,8,ferrari,142,0,4
2025,8,williams,54,0,5
2025,8,haas,26,0,6
2025,8,rb,22,0,7
2025,8,aston_martin,14,0,8
2025,8,alpine,7,0,9
2025,8,sauber,6,0,10
2025,9,mclaren,362,7,1
2025,9,ferrari,165,0,2
2025,9,mercedes,159,0,3
2025,9,red_bull,144,2,4
2025,9,williams,54,0,5
2025,9,rb,28,0,6
2025,9,haas,26,0,7
2025,9,sauber,16,0,8
2025,9,aston_martin,16,0,9
2025,9,alpine,11,0,10
2025,10,mclaren,374,7,1
2025,10,mercedes,199,1,2
2025,10,ferrari,183,0,3
2025,10,red_bull,162,2,4
2025,10,williams,55,0,5
2025,10,haas,28,0,6
2025,10,rb,28,0,7
2025,10,aston_martin,22,0,8
2025,10,sauber,20,0,9
2025,10,alpine,11,0,10
2025,11,mclaren,417,8,1
2025,11,ferrari,210,0,2
2025,11,mercedes,209,1,3
2025,11,red_bull,162,2,4
2025,11,williams,55,0,5
2025,11,rb,36,0,6
2025,11,haas,29,0,7
2025,11,aston_martin,28,0,8
2025,11,sauber,26,0,9
2025,11,alpine,11,0,10
2025,12,mclaren,460,9,1
2025,12,ferrari,222,0,2
2025,12,mercedes,210,1,3
2025,12,red_bull,172,2,4
2025,12,williams,59,0,5
2025,12,sauber,41,0,6
2025,12,rb,36,0,7
2025,12,aston_martin,36,0,8
2025,12,haas,29,0,9
2025,12,alpine,19,0,10
2025,13,mclaren,516,10,1
2025,13,ferrari,248,0,2
2025,13,mercedes,220,1,3
2025,13,red_bull,192,2,4
2025,13,williams,70,0,5
2025,13,sauber,43,0,6
2025,13,rb,41,0,7
2025,13,aston_martin,36,0,8
2025,13,haas,35,0,9
2025,13,alpine,20,0,10
2025,14,mclaren,559,11,1
2025,14,ferrari,260,0,2
2025,14,mercedes,236,1,3
2025,14,red_bull,194,2,4
2025,14,williams,70,0,5
2025,14,aston_martin,52,0,6
2025,14,sauber,51,0,7
2025,14,rb,45,0,8
2025,14,haas,35,0,9
2025,14,alpine,20,0,10
2025,15,mclaren,584,12,1
2025,15,ferrari,260,0,2
2025,15,mercedes,248,1,3
2025,15,red_bull,214,2,4
2025,15,williams,80,0,5
2025,15,aston_martin,62,0,6
2025,15,rb,60,0,7
2025,15,sauber,51,0,8
2025,15,haas,44,0,9
2025,15,alpine,20,0,10
2025,16,mclaren,617,12,1
2025,16,ferrari,280,0,2
2025,16,mercedes,260,1,3
2025,16,red_bull,239,3,4
2025,16,williams,86,0,5
2025,16,aston_martin,62,0,6
2025,16,rb,61,0,7
2025,16,sauber,55,0,8
2025,16,haas,44,0,9
2025,16,alpine,20,0,10
2025,17,mclaren,623,12,1
2025,17,mercedes,290,1,2
2025,17,ferrari,286,0,3
2025,17,red_bull,272,4,4
2025,17,williams,101,0,5
2025,17,rb,72,0,6
2025,17,aston_martin,62,0,7
2025,17,sauber,55,0,8
2025,17,haas,44,0,9
2025,17,alpine,20,0,10
